,Mean_S1,Lower_S1,Upper_S1,S1,Mean_S2,Lower_S2,Upper_S2,S2,Mean_S123,Lower_S123,Upper_S123,S123
iter_45,1.0022704978804868,0.8270847217332953,1.126755784091128,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9797352604642239,0.7344049931666201,1.1355507310374884,5
iter_46,1.0021526372241167,0.8270106481529441,1.1266159596207,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9796176996396282,0.734280815798088,1.1354357973385203,5
iter_47,1.0020535091263183,0.8269518467380992,1.1264966005173924,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9796176996396282,0.734280815798088,1.1354357973385203,5
iter_48,1.0013653596166174,0.8265854995050134,1.1256469087909544,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9230813482506277,0.6245280880089407,1.0983438800653125,5
iter_49,1.001324783278645,0.8265494768331832,1.1256040452579563,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9230813482506277,0.6245280880089407,1.0983438800653125,5
iter_50,1.0011283998875233,0.8264207984819246,1.1253736510323407,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9229598549647571,0.6244463387290448,1.0982090367447415,5
iter_51,1.0009888394826327,0.8263574760390499,1.1251957838429496,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9196990885296399,0.6072280806670436,1.0995380065994957,5
iter_52,1.0007681076292865,0.8262342950432914,1.1249260215174701,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9196652375072213,0.6072043684154677,1.0995008920886091,5
iter_53,1.0006752661834295,0.8261513706537519,1.1248281946888903,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9196652375072213,0.6072043684154677,1.0995008920886091,5
iter_54,1.00051013841213,0.8260601056748966,1.124625930124443,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9196652375072213,0.6072043684154677,1.0995008920886091,5
iter_55,1.0004231247518716,0.8259923240401242,1.1245292454136429,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9196652375072213,0.6072043684154677,1.0995008920886091,5
iter_56,1.000305620483392,0.8259045292903905,1.1243968000985438,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9182273190145085,0.6075853171968654,1.0974758794493802,5
iter_57,1.0002130385789012,0.825885709435105,1.1242671162953781,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9182273190145085,0.6075853171968654,1.0974758794493802,5
iter_58,1.0000545489571384,0.8257884242718221,1.124077833982061,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9182273190145085,0.6075853171968654,1.0974758794493802,5
iter_59,0.9999566306233467,0.8257285462761208,1.1239607738140942,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9182273190145085,0.6075853171968654,1.0974758794493802,5
iter_60,0.9870071007117474,0.7988419283644346,1.1178592072245948,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9181379440852222,0.6075248247111221,1.0973771555776388,5
iter_61,0.9869454960428393,0.7987961558569808,1.1177900074356,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9181379440852222,0.6075248247111221,1.0973771555776388,5
iter_62,0.9869048561871971,0.7987625906093253,1.1177459735649156,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9181379440852222,0.6075248247111221,1.0973771555776388,5
iter_63,0.9867893896594256,0.7987045864265501,1.1176029366744806,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9181379440852222,0.6075248247111221,1.0973771555776388,5
iter_64,0.986724447262353,0.7986671406346516,1.1175247995302322,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9181379440852222,0.6075248247111221,1.0973771555776388,5
iter_65,0.9866098931481,0.7985916261937483,1.1173915093932634,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9181379440852222,0.6075248247111221,1.0973771555776388,5
iter_66,0.9866033644197443,0.7985862069107935,1.1173844481805286,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9181379440852222,0.6075248247111221,1.0973771555776388,5
iter_67,0.9865593644231608,0.7985520071776836,1.1173357444065324,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9181379440852222,0.6075248247111221,1.0973771555776388,5
iter_68,0.9865166899005595,0.7985164894834313,1.1172896347619783,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9181379440852222,0.6075248247111221,1.0973771555776388,5
iter_69,0.986380220090466,0.7984674995929767,1.1171111697214862,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9181379440852222,0.6075248247111221,1.0973771555776388,5
iter_70,0.9863519665494698,0.7984565927320197,1.1170745873209973,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9181379440852222,0.6075248247111221,1.0973771555776388,5
iter_71,0.9863519665494698,0.7984565927320197,1.1170745873209973,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9181379440852222,0.6075248247111221,1.0973771555776388,5
iter_72,0.986274114973123,0.7984111008418665,1.116981197203008,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9181379440852222,0.6075248247111221,1.0973771555776388,5
iter_73,0.9862009050562635,0.7983562607277336,1.1168991656733465,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9181379440852222,0.6075248247111221,1.0973771555776388,5
iter_74,0.9861843176801491,0.7983424218679861,1.1168812583473038,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9180885893219579,0.6074913140862412,1.0973226718842475,5
iter_75,0.986161017122548,0.7983333984222553,1.1168511011379407,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9180885893219579,0.6074913140862412,1.0973226718842475,5
iter_76,0.9861437626128479,0.7983267049758825,1.1168287744119947,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9180885893219579,0.6074913140862412,1.0973226718842475,5
iter_77,0.9861122250158678,0.7983144456693302,1.116787977460378,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9180885893219579,0.6074913140862412,1.0973226718842475,5
iter_78,0.9861122250158678,0.7983144456693302,1.116787977460378,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9180885893219579,0.6074913140862412,1.0973226718842475,5
iter_79,0.9856124932936967,0.7978933369903352,1.1162504768227437,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9180885893219579,0.6074913140862412,1.0973226718842475,5
iter_80,0.9855823175592592,0.797881776971378,1.1162113569939383,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_81,0.9855823175592592,0.797881776971378,1.1162113569939383,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_82,0.985553412165628,0.7978706757804591,1.1161738968737993,5,1.0488774032662278,0.8178802264128765,1.1988679592666658,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_83,0.9855333906487911,0.7978603568034411,1.116149213173119,5,1.0488774032662278,0.8178802264128765,1.1988679592666658,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_84,0.9855266994205099,0.7978577804915912,1.116140544632804,5,1.0488774032662278,0.8178802264128765,1.1988679592666658,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_85,0.9855059148912401,0.7978497685503916,1.116113622404384,5,1.0488774032662278,0.8178802264128765,1.1988679592666658,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_86,0.9854831897615645,0.7978471613460433,1.116081229328376,5,1.0488774032662278,0.8178802264128765,1.1988679592666658,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_87,0.9854740022743564,0.7978436160905594,1.1160693302698752,5,1.0488774032662278,0.8178802264128765,1.1988679592666658,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_88,0.9854402308774206,0.7978305607664803,1.1160256025940856,5,1.0488774032662278,0.8178802264128765,1.1988679592666658,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_89,0.9854173481340054,0.7978303829670379,1.1159918068997576,5,1.036359254396897,0.7887554500998466,1.1930741608749256,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_90,0.9854173481340054,0.7978303829670379,1.1159918068997576,5,1.036359254396897,0.7887554500998466,1.1930741608749256,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_91,0.9853964454583539,0.7978302073644549,1.1159609411835183,5,1.0287716823835253,0.7678086695885972,1.190641480495756,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_92,0.9853728996353146,0.7978299944716216,1.1159261789001953,5,1.0287716823835253,0.7678086695885972,1.190641480495756,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_93,0.9853728996353146,0.7978299944716216,1.1159261789001953,5,1.0287716823835253,0.7678086695885972,1.190641480495756,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_94,0.985243134293103,0.7977195830219445,1.1157871091987466,5,1.012872609850181,0.7246257354844374,1.184617825063862,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_95,0.985243134293103,0.7977195830219445,1.1157871091987466,5,0.9561849072789548,0.7513281250053572,1.0948221015806132,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_96,0.985243134293103,0.7977195830219445,1.1157871091987466,5,0.9561849072789548,0.7513281250053572,1.0948221015806132,5,0.9180806401877962,0.6074859098145561,1.0973138989256972,5
iter_97,0.985243134293103,0.7977195830219445,1.1157871091987466,5,0.9561849072789548,0.7513281250053572,1.0948221015806132,5,0.912498767457192,0.5999161403265415,1.0923736071107104,5
iter_98,0.9852364356959893,0.7977170087435298,1.1157784277612985,5,0.9561849072789548,0.7513281250053572,1.0948221015806132,5,0.9049742095061853,0.5749246422013005,1.0903231806590135,5
iter_99,0.9852334145569377,0.79771584723761,1.1157745125610778,5,0.9561849072789548,0.7513281250053572,1.0948221015806132,5,0.8778541757164424,0.5210886353920079,1.0710403025831012,5
iter_100,0.985188942463036,0.7976987150700119,1.1157168955178351,5,0.9457948199661095,0.7438732748822466,1.0830945375316854,5,0.8778541757164424,0.5210886353920079,1.0710403025831012,5
iter_101,0.9851856329488711,0.7976974375529813,1.1157126089770084,5,0.9457948199661095,0.7438732748822466,1.0830945375316854,5,0.8778541757164424,0.5210886353920079,1.0710403025831012,5
iter_102,0.9851856329488711,0.7976974375529813,1.1157126089770084,5,0.9457948199661095,0.7438732748822466,1.0830945375316854,5,0.8778541757164424,0.5210886353920079,1.0710403025831012,5
iter_103,0.9851756413951084,0.797693578510575,1.1156996687426604,5,0.9399122620485737,0.7495480407426441,1.0718153449636507,5,0.8740198738498381,0.5234391770722031,1.065446649598876,5
iter_104,0.985145760891686,0.7976933752869484,1.1156555177134417,5,0.9399122620485737,0.7495480407426441,1.0718153449636507,5,0.8740198738498381,0.5234391770722031,1.065446649598876,5
iter_105,0.985145760891686,0.7976933752869484,1.1156555177134417,5,0.9399122620485737,0.7495480407426441,1.0718153449636507,5,0.8740198738498381,0.5234391770722031,1.065446649598876,5
iter_106,0.985145760891686,0.7976933752869484,1.1156555177134417,5,0.9399122620485737,0.7495480407426441,1.0718153449636507,5,0.8740198738498381,0.5234391770722031,1.065446649598876,5
iter_107,0.985145760891686,0.7976933752869484,1.1156555177134417,5,0.9399122620485737,0.7495480407426441,1.0718153449636507,5,0.8740198738498381,0.5234391770722031,1.065446649598876,5
iter_108,0.985145760891686,0.7976933752869484,1.1156555177134417,5,0.9399122620485737,0.7495480407426441,1.0718153449636507,5,0.8740198738498381,0.5234391770722031,1.065446649598876,5
iter_109,0.985145760891686,0.7976933752869484,1.1156555177134417,5,0.9286889829842143,0.7586775537129179,1.050555586352492,5,0.8740198738498381,0.5234391770722031,1.065446649598876,5
iter_110,0.985145760891686,0.7976933752869484,1.1156555177134417,5,0.9286889829842143,0.7586775537129179,1.050555586352492,5,0.8740198738498381,0.5234391770722031,1.065446649598876,5
iter_111,0.985145760891686,0.7976933752869484,1.1156555177134417,5,0.9286889829842143,0.7586775537129179,1.050555586352492,5,0.8740198738498381,0.5234391770722031,1.065446649598876,5
iter_112,0.9851214965119953,0.7976840032354798,1.1156240917102784,5,0.9224424506156796,0.7626804767239252,1.0389803796872856,5,0.8326063190632957,0.3762615684518693,1.0501777754264792,5
iter_113,0.9851214965119953,0.7976840032354798,1.1156240917102784,5,0.9224424506156796,0.7626804767239252,1.0389803796872856,5,0.8135783697269879,0.3892212862695957,1.0240589652074643,5
iter_114,0.9851214965119953,0.7976840032354798,1.1156240917102784,5,0.9224424506156796,0.7626804767239252,1.0389803796872856,5,0.8135783697269879,0.3892212862695957,1.0240589652074643,5
iter_115,0.9851214965119953,0.7976840032354798,1.1156240917102784,5,0.9224424506156796,0.7626804767239252,1.0389803796872856,5,0.8135783697269879,0.3892212862695957,1.0240589652074643,5
iter_116,0.9851214965119953,0.7976840032354798,1.1156240917102784,5,0.9224424506156796,0.7626804767239252,1.0389803796872856,5,0.8135783697269879,0.3892212862695957,1.0240589652074643,5
iter_117,0.9851214965119953,0.7976840032354798,1.1156240917102784,5,0.9224424506156796,0.7626804767239252,1.0389803796872856,5,0.8135783697269879,0.3892212862695957,1.0240589652074643,5
iter_118,0.9735699373292465,0.795586611633479,1.0994516250607025,5,0.9224424506156796,0.7626804767239252,1.0389803796872856,5,0.8135783697269879,0.3892212862695957,1.0240589652074643,5
iter_119,0.9735699373292465,0.795586611633479,1.0994516250607025,5,0.9224424506156796,0.7626804767239252,1.0389803796872856,5,0.8135783697269879,0.3892212862695957,1.0240589652074643,5
iter_120,0.9735699373292465,0.795586611633479,1.0994516250607025,5,0.9122866900182641,0.756794261025089,1.0265476549652885,5,0.8135783697269879,0.3892212862695957,1.0240589652074643,5
iter_121,0.9735699373292465,0.795586611633479,1.0994516250607025,5,0.9122866900182641,0.756794261025089,1.0265476549652885,5,0.8135783697269879,0.3892212862695957,1.0240589652074643,5
iter_122,0.9735699373292465,0.795586611633479,1.0994516250607025,5,0.9116095060637547,0.7562619426961543,1.025792609411969,5,0.8135783697269879,0.3892212862695957,1.0240589652074643,5
iter_123,0.9735699373292465,0.795586611633479,1.0994516250607025,5,0.9116095060637547,0.7562619426961543,1.025792609411969,5,0.8135783697269879,0.3892212862695957,1.0240589652074643,5
iter_124,0.9735699373292465,0.795586611633479,1.0994516250607025,5,0.9116095060637547,0.7562619426961543,1.025792609411969,5,0.8135783697269879,0.3892212862695957,1.0240589652074643,5
iter_125,0.9735699373292465,0.795586611633479,1.0994516250607025,5,0.9116095060637547,0.7562619426961543,1.025792609411969,5,0.801102785093887,0.392654705667972,1.007810533912652,5
iter_126,0.9735699373292465,0.795586611633479,1.0994516250607025,5,0.8895524658600228,0.7680569690351593,0.9843833547197185,5,0.801102785093887,0.392654705667972,1.007810533912652,5
iter_127,0.9735699373292465,0.795586611633479,1.0994516250607025,5,0.8895524658600228,0.7680569690351593,0.9843833547197185,5,0.801102785093887,0.392654705667972,1.007810533912652,5
iter_128,0.9735699373292465,0.795586611633479,1.0994516250607025,5,0.8895524658600228,0.7680569690351593,0.9843833547197185,5,0.801102785093887,0.392654705667972,1.007810533912652,5
iter_129,0.9735699373292465,0.795586611633479,1.0994516250607025,5,0.8895524658600228,0.7680569690351593,0.9843833547197185,5,0.7889180586009492,0.3919580501572066,0.9927926952776895,5
iter_130,0.9605958019299692,0.7879287838774958,1.0838122399807528,5,0.8895524658600228,0.7680569690351593,0.9843833547197185,5,0.7889180586009492,0.3919580501572066,0.9927926952776895,5
iter_131,0.9605958019299692,0.7879287838774958,1.0838122399807528,5,0.8881820023642765,0.768362006791551,0.9819915591824114,5,0.7838075251668403,0.39575018426530933,0.9854212980980945,5
iter_132,0.9605958019299692,0.7879287838774958,1.0838122399807528,5,0.8881820023642765,0.768362006791551,0.9819915591824114,5,0.7838075251668403,0.39575018426530933,0.9854212980980945,5
iter_133,0.9605958019299692,0.7879287838774958,1.0838122399807528,5,0.8881820023642765,0.768362006791551,0.9819915591824114,5,0.7838075251668403,0.39575018426530933,0.9854212980980945,5
iter_134,0.9493207736601905,0.7761538157645789,1.072789942396913,5,0.8881820023642765,0.768362006791551,0.9819915591824114,5,0.7654022048655147,0.3096581096918428,0.9828462894385035,5
iter_135,0.9493207736601905,0.7761538157645789,1.072789942396913,5,0.8881820023642765,0.768362006791551,0.9819915591824114,5,0.7654022048655147,0.3096581096918428,0.9828462894385035,5
iter_136,0.9493207736601905,0.7761538157645789,1.072789942396913,5,0.8881820023642765,0.768362006791551,0.9819915591824114,5,0.7396028603105935,0.13536757162620872,0.9829507782272933,5
iter_137,0.9493207736601905,0.7761538157645789,1.072789942396913,5,0.8881820023642765,0.768362006791551,0.9819915591824114,5,0.7396028603105935,0.13536757162620872,0.9829507782272933,5
iter_138,0.9493207736601905,0.7761538157645789,1.072789942396913,5,0.8881820023642765,0.768362006791551,0.9819915591824114,5,0.7396028603105935,0.13536757162620872,0.9829507782272933,5
iter_139,0.9493207736601905,0.7761538157645789,1.072789942396913,5,0.8881820023642765,0.768362006791551,0.9819915591824114,5,0.7396028603105935,0.13536757162620872,0.9829507782272933,5
iter_140,0.9493207736601905,0.7761538157645789,1.072789942396913,5,0.886694695482466,0.7679280321004606,0.9798589173234858,5,0.7396028603105935,0.13536757162620872,0.9829507782272933,5
iter_141,0.9493207736601905,0.7761538157645789,1.072789942396913,5,0.886694695482466,0.7679280321004606,0.9798589173234858,5,0.7396028603105935,0.13536757162620872,0.9829507782272933,5
iter_142,0.9482830074675077,0.7748154529166709,1.0719039238113626,5,0.886694695482466,0.7679280321004606,0.9798589173234858,5,0.7396028603105935,0.13536757162620872,0.9829507782272933,5
